ItemID,SalesDate,CostPrice, QtySales 
SKU_1899_112,7/1/2017,18.01," 12,628.00 "
SKU_1899_112,8/1/2017,18.01," 10,818.00 "
SKU_1899_112,9/1/2017,18.01," 7,415.00 "
SKU_1899_112,10/1/2017,18.01," 1,716.10 "
SKU_1899_112,11/1/2017,18.01," 2,382.00 "
SKU_1899_112,12/1/2017,18.01," 1,812.40 "
SKU_1899_112,1/1/2018,18.01," 5,366.70 "
SKU_1899_112,2/1/2018,18.01," 7,292.20 "
SKU_1899_112,3/1/2018,18.01," 6,751.00 "
SKU_1899_112,4/1/2018,18.01," 10,290.00 "
SKU_1899_112,5/1/2018,18.01," 7,425.00 "
SKU_1899_112,6/1/2018,18.01," 7,838.00 "
SKU_1899_112,7/1/2018,18.01," 10,053.00 "
SKU_1899_112,8/1/2018,18.01," 8,730.80 "
SKU_1899_112,9/1/2018,18.01," 10,005.00 "
SKU_1899_112,10/1/2018,18.01," 8,944.00 "
SKU_1899_112,11/1/2018,18.01," 8,761.00 "
SKU_1899_112,12/1/2018,18.01," 4,470.35 "
SKU_1899_112,1/1/2019,18.01," 7,889.00 "
SKU_1899_112,2/1/2019,18.01," 9,646.00 "
SKU_1899_112,3/1/2019,18.01," 15,311.90 "
SKU_1899_112,4/1/2019,18.01," 15,121.00 "
SKU_1899_112,5/1/2019,18.01," 12,367.00 "
SKU_1899_112,6/1/2019,18.01," 7,136.00 "
SKU_1899_112,7/1/2019,18.01," 12,538.00 "
SKU_1899_112,8/1/2019,18.01," 8,495.80 "
SKU_1899_112,9/1/2019,18.01," 8,368.00 "
SKU_1899_112,10/1/2019,18.01," 8,423.00 "
SKU_1899_112,11/1/2019,18.01," 8,042.00 "
SKU_1899_112,12/1/2019,18.01," 1,775.35 "
SKU_1899_112,1/1/2020,18.01," 8,822.00 "
SKU_1899_112,2/1/2020,18.01," 8,355.50 "
SKU_1899_112,3/1/2020,18.01," 6,891.00 "
SKU_1899_112,4/1/2020,18.01," 4,686.00 "
SKU_1899_112,5/1/2020,18.01," 8,087.00 "
SKU_1899_112,6/1/2020,18.01," 10,909.00 "
